From	To
PAR14_MOUSE	Parp14
CP2CT_MOUSE	Cyp2c29
O1509_MOUSE	Olfr1509
LORF2_MOUSE	Pol
RHX13_MOUSE	Rhox13
POL1_MOUSE	Pol
RL31_MOUSE	Rpl31
CYLD_MOUSE	Cyld
CTR3_MOUSE	Slc7a3
LDOC1_MOUSE	Ldoc1
ITIH5_MOUSE	Itih5
ZC3HF_MOUSE	Zc3h15
S2539_MOUSE	Slc25a39
ODFP2_MOUSE	Odf2
CES1F_MOUSE	Ces1f
RS18_MOUSE	Rps18
UBA1Y_MOUSE	Uba1y
LAMA1_MOUSE	Lama1
GNPAT_MOUSE	Gnpat
METL4_MOUSE	Mettl4
RS2_MOUSE	Rps2
ERF1_MOUSE	Etf1
HS90B_MOUSE	Hsp90ab1
ATPA_MOUSE	Atp5f1a
1433T_MOUSE	Ywhaq
DYL1_MOUSE	Dynll1
RS11_MOUSE	Rps11
PACA_MOUSE	Adcyap1
IGEB_MOUSE	Iap
YES_MOUSE	Yes1
LORF1_MOUSE	Lire1
NAA20_MOUSE	Naa20
MDR1B_MOUSE	Abcb1b
MDR1A_MOUSE	Abcb1a
RUN3B_MOUSE	Rundc3b
S2540_MOUSE	Slc25a40
DBF4A_MOUSE	Dbf4
ADA22_MOUSE	Adam22
SORCN_MOUSE	Sri
STEA4_MOUSE	Steap4
PLK1_MOUSE	Plk1
TEX47_MOUSE	Tex47
Z804A_MOUSE	Znf804a
GPTC8_MOUSE	Gpatch8
RLP24_MOUSE	Rsl24d1
PM34_MOUSE	Slc25a17
STEA1_MOUSE	Steap1
STEA2_MOUSE	Steap2
CFA69_MOUSE	Cfap69
GTPBA_MOUSE	Gtpbp10
CLD12_MOUSE	Cldn12
CDK14_MOUSE	Cdk14
FZD1_MOUSE	Fzd1
PSB7_MOUSE	Psmb7
MTF1A_MOUSE	Mterf1a
ZN182_MOUSE	Znf182
AKAP9_MOUSE	Akap9
NDC80_MOUSE	Ndc80
SMKW_MOUSE	Stk-ps2
ABCB5_MOUSE	Abcb5
OCTC_MOUSE	Crot
DMTF1_MOUSE	Dmtf1
GRM3_MOUSE	Grm3
EF1A1_MOUSE	Eef1a1
SEM3D_MOUSE	Sema3d
ENOA_MOUSE	Eno1
SEM3A_MOUSE	Sema3a
SEM3E_MOUSE	Sema3e
PCLO_MOUSE	Pclo
KRIT1_MOUSE	Krit1
CA2D1_MOUSE	Cacna2d1
HGF_MOUSE	Hgf
TBB5_MOUSE	Tubb5
CDHR3_MOUSE	Cdhr3
SEM3C_MOUSE	Sema3c
CD36_MOUSE	Cd36
ZMIZ2_MOUSE	Zmiz2
GNAT3_MOUSE	Gnat3
GNAI1_MOUSE	Gnai1
RL9_MOUSE	Rpl9
MAGI2_MOUSE	Magi2
ODPA_MOUSE	Pdha1
SMD2_MOUSE	Snrpd2
PHTF2_MOUSE	Phtf2
TMM60_MOUSE	Tmem60
RSBN1_MOUSE	Rsbn1
PTN12_MOUSE	Ptpn12
GSAP_MOUSE	Gsap
CFA58_MOUSE	Cfap58
FGL2_MOUSE	Fgl2
F185A_MOUSE	Fam185a
DRC6_MOUSE	Fbxl13
LRC17_MOUSE	Lrrc17
ARM10_MOUSE	Armc10
NAPEP_MOUSE	Napepld
MPPB_MOUSE	Pmpcb
DNJC2_MOUSE	Dnajc2
PRS7_MOUSE	Psmc2
S26A5_MOUSE	Slc26a5
RELN_MOUSE	Reln
RS28_MOUSE	Rps28
ORC5_MOUSE	Orc5
PAN3_MOUSE	Pan3
PPIA_MOUSE	Ppia
KMT2E_MOUSE	Kmt2e
SRPK2_MOUSE	Srpk2
PUS7_MOUSE	Pus7
RINT1_MOUSE	Rint1
SHPS1_MOUSE	Sirpa
WDR12_MOUSE	Wdr12
BMPR2_MOUSE	Bmpr2
NOP58_MOUSE	Nop58
SUMO1_MOUSE	Sumo1
FZD7_MOUSE	Fzd7
CDK15_MOUSE	Cdk15
ALS2_MOUSE	Als2
MPP4_MOUSE	Mpp4
TM237_MOUSE	Tmem237
STRAB_MOUSE	Stradb
TRAK1_MOUSE	Trak1
CASP8_MOUSE	Casp8
CFLAR_MOUSE	Cflar
RLA2_MOUSE	Rplp2
NDUB3_MOUSE	Ndufb3
F126B_MOUSE	Fam126b
ORC2_MOUSE	Orc2
NIF3L_MOUSE	Nif3l1
PPIL3_MOUSE	Ppil3
CLK1_MOUSE	Clk1
BZW1_MOUSE	Bzw1
AOXB_MOUSE	Aox2
AOXA_MOUSE	Aox1
SGO2_MOUSE	Sgo2
KCD21_MOUSE	Kctd21
SPS2L_MOUSE	Spats2l
MAIP1_MOUSE	Maip1
TYW5_MOUSE	Tyw5
SMRC2_MOUSE	Smarcc2
SATB2_MOUSE	Satb2
HSF1_MOUSE	Hsf1
PLCL1_MOUSE	Plcl1
BOLL_MOUSE	Boll
SYMM_MOUSE	Mars2
RFTN2_MOUSE	Rftn2
PHOCN_MOUSE	Mob4
CH10_MOUSE	Hspe1
CH60_MOUSE	Hspd1
CQ10B_MOUSE	Coq10b
SF3B1_MOUSE	Sf3b1
ANR44_MOUSE	Ankrd44
PGAP1_MOUSE	Pgap1
CC150_MOUSE	Ccdc150
HECW2_MOUSE	Hecw2
ST17B_MOUSE	Stk17b
DYH3_MOUSE	Dnah3
S39AA_MOUSE	Slc39a10
THIC_MOUSE	Acat2
TEFF2_MOUSE	Tmeff2
CAVN2_MOUSE	Cavin2
SOSB2_MOUSE	Nabp1
MYO1B_MOUSE	Myo1b
STAT4_MOUSE	Stat4
STAT1_MOUSE	Stat1
GLSK_MOUSE	Gls
NAB1_MOUSE	Nab1
NEMP2_MOUSE	Nemp2
MFSD6_MOUSE	Mfsd6
INPP_MOUSE	Inpp1
HIBCH_MOUSE	Hibch
GDF8_MOUSE	Mstn
PMS2_MOUSE	Pms2
OSGP2_MOUSE	Osgepl1
ANKAR_MOUSE	Ankar
ASND1_MOUSE	Asnsd1
S40A1_MOUSE	Slc40a1
WDR75_MOUSE	Wdr75
CO5A2_MOUSE	Col5a2
CO3A1_MOUSE	Col3a1
GULP1_MOUSE	Gulp1
ERCC5_MOUSE	Ercc5
TPP2_MOUSE	Tpp2
MT21C_MOUSE	Mettl21c
ZN431_MOUSE	Znf431
ZN706_MOUSE	Znf706
OLF1_MOUSE	Olfr1
PABP2_MOUSE	Pabpn1
UFD1_MOUSE	Ufd1
SMHD1_MOUSE	Smchd1
EMIL2_MOUSE	Emilin2
LPIN2_MOUSE	Lpin2
MYOM1_MOUSE	Myom1
RL28_MOUSE	Rpl28
ML12B_MOUSE	Myl12b
TGIF1_MOUSE	Tgif1
DLGP1_MOUSE	Dlgap1
RL21_MOUSE	Rpl21
AKAI1_MOUSE	Akain1
ZBT14_MOUSE	Zbtb14
E41L3_MOUSE	Epb41l3
RL26_MOUSE	Rpl26
T200A_MOUSE	Tmem200a
LMBL4_MOUSE	L3mbtl4
RHG28_MOUSE	Arhgap28
NEDD4_MOUSE	Nedd4
MTCL1_MOUSE	Mtcl1
DCOR_MOUSE	Odc1
RAB12_MOUSE	Rab12
THMS3_MOUSE	Themis3
PTPRM_MOUSE	Ptprm
LRC30_MOUSE	Lrrc30
ZN120_MOUSE	Zfp120
IMA4_MOUSE	Kpna3
OLF6_MOUSE	Olfr6
RANG_MOUSE	Ranbp1
ACTG_MOUSE	Actg1
NYNRI_MOUSE	Nynrin
ABHD6_MOUSE	Abhd6
RS19_MOUSE	Rps19
MYCL_MOUSE	Mycl
GMCL2_MOUSE	Gmcl2
OOG1_MOUSE	Oog1
RTL1_MOUSE	Rtl1
PNMA3_MOUSE	Pnma3
RN213_MOUSE	Rnf213
DNM3B_MOUSE	Dnmt3b
ABCBA_MOUSE	Abcb10
TAF5L_MOUSE	Taf5l
CLD7_MOUSE	Cldn7
GALT2_MOUSE	Galnt2
PGBD5_MOUSE	Pgbd5
COG2_MOUSE	Cog2
ANGT_MOUSE	Agt
CAN9_MOUSE	Capn9
OGT1_MOUSE	Ogt
ARV1_MOUSE	Arv1
FA89A_MOUSE	Fam89a
TRI67_MOUSE	Trim67
EXOC8_MOUSE	Exoc8
SPRTN_MOUSE	Sprtn
EGLN1_MOUSE	Egln1
TSNAX_MOUSE	Tsnax
DISC1_MOUSE	Disc1
SI1L2_MOUSE	Sipa1l2
MAP10_MOUSE	Map10
NTPCR_MOUSE	Ntpcr
PCX2_MOUSE	Pcnx2
M3K21_MOUSE	Map3k21
KCNK1_MOUSE	Kcnk1
S35F3_MOUSE	Slc35f3
I2BP2_MOUSE	Irf2bp2
TOM20_MOUSE	Tomm20
RBM34_MOUSE	Rbm34
PARD3_MOUSE	Pard3
NRP1_MOUSE	Nrp1
ITB1_MOUSE	Itgb1
NOP14_MOUSE	Nop14
CCDC7_MOUSE	Ccdc7
CCNY_MOUSE	Ccny
CXD4_MOUSE	Gjd4
LSM5_MOUSE	Lsm5
FZD8_MOUSE	Fzd8
NU133_MOUSE	Nup133
ACTS_MOUSE	Acta1
CCSAP_MOUSE	Ccsap
CDK16_MOUSE	Cdk16
RAB4A_MOUSE	Rab4a
RHOU_MOUSE	Rhou
FRIL2_MOUSE	Ftl2
FKBP2_MOUSE	Fkbp2
DRC4_MOUSE	Gas8
DBND1_MOUSE	Dbndd1
AFG31_MOUSE	Afg3l1
TBB3_MOUSE	Tubb3
TCF25_MOUSE	Tcf25
SPIR2_MOUSE	Spire2
FANCA_MOUSE	Fanca
ZN276_MOUSE	Znf276
VP9D1_MOUSE	Vps9d1
SPA2L_MOUSE	Spata2l
CDK10_MOUSE	Cdk10
SPT33_MOUSE	Spata33
CHM1A_MOUSE	Chmp1a
DPEP1_MOUSE	Dpep1
ST2B1_MOUSE	Sult2b1
CPNE7_MOUSE	Cpne7
RL13_MOUSE	Rpl13
SPG7_MOUSE	Spg7
RL7A_MOUSE	Rpl7a
ANR11_MOUSE	Ankrd11
CAD15_MOUSE	Cdh15
ACSF3_MOUSE	Acsf3
MTG16_MOUSE	Cbfa2t3
TPC2L_MOUSE	Trappc2l
GALNS_MOUSE	Galns
APT_MOUSE	Aprt
CDT1_MOUSE	Cdt1
PIEZ1_MOUSE	Piezo1
CTU2_MOUSE	Ctu2
SNAI3_MOUSE	Snai3
MVD1_MOUSE	Mvd
CY24A_MOUSE	Cyba
IL17C_MOUSE	Il17c
ZCH18_MOUSE	Zc3h18
TRFR_MOUSE	Trhr
FOG1_MOUSE	Zfpm1
BANP_MOUSE	Banp
CAH5A_MOUSE	Ca5a
LAT1_MOUSE	Slc7a5
KLDC4_MOUSE	Klhdc4
JPH3_MOUSE	Jph3
ZCH14_MOUSE	Zcchc14
MLP3B_MOUSE	Map1lc3b
FBX31_MOUSE	Fbxo31
FOXL1_MOUSE	Foxl1
FOXC2_MOUSE	Foxc2
MTHSD_MOUSE	Mthfsd
FOXF1_MOUSE	Foxf1
IRF8_MOUSE	Irf8
COX41_MOUSE	Cox4i1
EMC8_MOUSE	Emc8
PSF2_MOUSE	Gins2
GSE1_MOUSE	Gse1
FA92B_MOUSE	Fam92b
K0513_MOUSE	Kiaa0513
ZDHC7_MOUSE	Zdhhc7
CRLD2_MOUSE	Crispld2
UBP10_MOUSE	Usp10
COTL1_MOUSE	Cotl1
AT2C1_MOUSE	Atp2c1
WFDC1_MOUSE	Wfdc1
KCNG4_MOUSE	Kcng4
ADAD2_MOUSE	Adad2
TAF1C_MOUSE	Taf1c
DAAF1_MOUSE	Dnaaf1
MBTP1_MOUSE	Mbtps1
S38A8_MOUSE	Slc38a8
NECA2_MOUSE	Necab2
DCMC_MOUSE	Mlycd
HSBP1_MOUSE	Hsbp1
CAD13_MOUSE	Cdh13
MPH6_MOUSE	Mphosph6
DHB2_MOUSE	Hsd17b2
D42E1_MOUSE	Sdr42e1
PLCG2_MOUSE	Plcg2
CMIP_MOUSE	Cmip
GAN_MOUSE	Gan
BCDO1_MOUSE	Bco1
PK1L2_MOUSE	Pkd1l2
ATMIN_MOUSE	Atmin
CENPN_MOUSE	Cenpn
CDYL2_MOUSE	Cdyl2
DLRB2_MOUSE	Dynlrb2
G3P_MOUSE	Gapdh
MAF_MOUSE	Maf
WWOX_MOUSE	Wwox
CLC3A_MOUSE	Clec3a
VAT1L_MOUSE	Vat1l
NUDT7_MOUSE	Nudt7
ATS18_MOUSE	Adamts18
SYC1L_MOUSE	Syce1l
MON1B_MOUSE	Mon1b
CNTP4_MOUSE	Cntnap4
SATL1_MOUSE	Satl1
RL6_MOUSE	Rpl6
NOB1_MOUSE	Nob1
WWP2_MOUSE	Wwp2
PSMD7_MOUSE	Psmd7
ZFHX3_MOUSE	Zfhx3
PMFBP_MOUSE	Pmfbp1
DHX8_MOUSE	Dhx8
TXN4B_MOUSE	Txnl4b
HPT_MOUSE	Hp
PK1L3_MOUSE	Pkd1l3
IST1_MOUSE	Ist1
ZN821_MOUSE	Znf821
ATX1L_MOUSE	Atxn1l
PHLP2_MOUSE	Phlpp2
MALD3_MOUSE	Marveld3
ATTY_MOUSE	Tat
CHST4_MOUSE	Chst4
ZN271_MOUSE	Znf271
TLE2_MOUSE	Tle2
CALB2_MOUSE	Calb2
CMTR2_MOUSE	Cmtr2
HYDIN_MOUSE	Hydin
VAC14_MOUSE	Vac14
IL34_MOUSE	Il34
SF3B3_MOUSE	Sf3b3
COG4_MOUSE	Cog4
SIA4B_MOUSE	St3gal2
DD19A_MOUSE	Ddx19a
SYAC_MOUSE	Aars
EXOS6_MOUSE	Exosc6
CL18A_MOUSE	Clec18a
PDPR_MOUSE	Pdpr
GSLG1_MOUSE	Glg1
RFWD3_MOUSE	Rfwd3
DDAH1_MOUSE	Ddah1
FA2H_MOUSE	Fa2h
WDR59_MOUSE	Wdr59
ZNRF1_MOUSE	Znrf1
LDHD_MOUSE	Ldhd
ZFP1_MOUSE	Zfp1
RS15_MOUSE	Rps15
CTRB1_MOUSE	Ctrb1
BCAR1_MOUSE	Bcar1
CFDP1_MOUSE	Cfdp1
T170A_MOUSE	Tmem170a
CHST5_MOUSE	Chst5
TM231_MOUSE	Tmem231
GBRL2_MOUSE	Gabarapl2
ADAT1_MOUSE	Adat1
SYK_MOUSE	Kars
TE2IP_MOUSE	Terf2ip
EST2C_MOUSE	Ces2c
EST2E_MOUSE	Ces2e
EST3A_MOUSE	Ces3a
EST4A_MOUSE	Ces4a
PEBB_MOUSE	Cbfb
B3GN9_MOUSE	B3gnt9
TRADD_MOUSE	Tradd
FBXL8_MOUSE	Fbxl8
NOL3_MOUSE	Nol3
K895L_MOUSE	Kiaa0895l
EX3L1_MOUSE	Exoc3l1
E2F4_MOUSE	E2f4
ELMO3_MOUSE	Elmo3
FXL20_MOUSE	Fbxl20
TM208_MOUSE	Tmem208
FHOD1_MOUSE	Fhod1
SL9A3_MOUSE	Slc9a3
ARH40_MOUSE	Arhgef40
KCD19_MOUSE	Kctd19
LRC36_MOUSE	Lrrc36
TPPP3_MOUSE	Tppp3
ZDHC1_MOUSE	Zdhhc1
DHI2_MOUSE	Hsd11b2
VA0D1_MOUSE	Atp6v0d1
AGRP_MOUSE	Agrp
RIPR1_MOUSE	Ripor1
CTCF_MOUSE	Ctcf
CARL2_MOUSE	Carmil2
ACD_MOUSE	Acd
PAR6A_MOUSE	Pard6a
ENKD1_MOUSE	Enkd1
GFOD2_MOUSE	Gfod2
RBP10_MOUSE	Ranbp10
TXIP1_MOUSE	Tsnaxip1
CENPT_MOUSE	Cenpt
THA11_MOUSE	Thap11
NTF2_MOUSE	Nutf2
EDC4_MOUSE	Edc4
NRN1L_MOUSE	Nrn1l
PSB10_MOUSE	Psmb10
S12A4_MOUSE	Slc12a4
DPEP3_MOUSE	Dpep3
DDX28_MOUSE	Ddx28
DUS2L_MOUSE	Dus2
NFAC3_MOUSE	Nfatc3
ESRP2_MOUSE	Esrp2
PAG15_MOUSE	Pla2g15
RL40_MOUSE	Uba52
YLAT2_MOUSE	Slc7a6
S7A6O_MOUSE	Slc7a6os
ANM7_MOUSE	Prmt7
NSMA2_MOUSE	Smpd3
RL27A_MOUSE	Rpl27a
ZFP90_MOUSE	Zfp90
PSB3_MOUSE	Psmb3
CADH3_MOUSE	Cdh3
MAGB4_MOUSE	Mageb4
FUCO_MOUSE	Fuca1
CADH1_MOUSE	Cdh1
TNG6_MOUSE	Tango6
HYAS3_MOUSE	Has3
CTF8_MOUSE	Chtf8
UTP4_MOUSE	Utp4
VPS4A_MOUSE	Vps4a
COG8_MOUSE	Cog8
NIP7_MOUSE	Nip7
