sc	st	en	id
ScOZjSD_19	30546	58622	g1
ScOZjSD_44	1	2578	g2
ScOZjSD_50	36770	51430	g3
ScOZjSD_50	62519	95570	g4
ScOZjSD_70	2109	2480	g5
ScOZjSD_76	346	9038	g6
ScOZjSD_76	12239	16412	g7
ScOZjSD_76	18657	28729	g8
ScOZjSD_88	646	1536	g9
ScOZjSD_91	813	1355	g10
ScOZjSD_134	1	206	g11
ScOZjSD_152	169	375	g12
ScOZjSD_211	1	3205	g13
ScOZjSD_218	6646	11269	g14
ScOZjSD_227	4866	5492	g15
ScOZjSD_232	1	1324	g16
ScOZjSD_236	514	1965	g17
ScOZjSD_254	1052	2050	g18
ScOZjSD_262	1	1907	g19
ScOZjSD_286	2080	2802	g20
ScOZjSD_312	1244	2098	g21
ScOZjSD_327	1	394	g22
ScOZjSD_328	1	4242	g23
ScOZjSD_334	700	969	g24
ScOZjSD_370	3401	3787	g25
ScOZjSD_374	126	680	g26
ScOZjSD_407	789	1055	g27
ScOZjSD_409	1089	4381	g28
ScOZjSD_418	1395	22877	g29
ScOZjSD_427	385	2430	g30
ScOZjSD_436	1	23012	g31
ScOZjSD_436	40297	73934	g32
ScOZjSD_436	82154	98433	g33
ScOZjSD_436	163263	164556	g34
ScOZjSD_436	198922	206350	g35
ScOZjSD_436	229936	308437	g36
ScOZjSD_436	331281	363507	g37
ScOZjSD_436	407692	411895	g38
ScOZjSD_436	416863	417111	g39
ScOZjSD_436	517003	519524	g40
ScOZjSD_436	538124	538743	g41
ScOZjSD_436	559101	559559	g42
ScOZjSD_436	660524	681460	g43
ScOZjSD_436	685115	703062	g44
ScOZjSD_436	774947	810015	g45
ScOZjSD_436	822952	823155	g46
ScOZjSD_436	841842	842240	g47
ScOZjSD_436	842272	842598	g48
ScOZjSD_436	867805	869787	g49
ScOZjSD_436	1050747	1062809	g50
ScOZjSD_436	1080762	1122351	g51
ScOZjSD_436	1138356	1148347	g52
ScOZjSD_436	1158728	1160275	g53
ScOZjSD_436	1172749	1173405	g54
ScOZjSD_436	1274146	1274397	g55
ScOZjSD_436	1322450	1344458	g56
ScOZjSD_436	1362039	1366087	g57
ScOZjSD_436	1387877	1391284	g58
ScOZjSD_436	1417340	1488674	g59
ScOZjSD_436	1519662	1530745	g60
ScOZjSD_436	1559476	1559859	g61
ScOZjSD_436	1566018	1574358	g62
ScOZjSD_436	1578872	1588461	g63
ScOZjSD_436	1633756	1642818	g64
ScOZjSD_436	1646164	1676281	g65
ScOZjSD_436	1689017	1691082	g66
ScOZjSD_436	1711652	1724532	g67
ScOZjSD_436	1750093	1750347	g68
ScOZjSD_436	1768276	1902038	g69
ScOZjSD_436	1907601	1965508	g70
ScOZjSD_436	1967344	1989088	g71
ScOZjSD_436	2030523	2128996	g72
ScOZjSD_436	2137687	2161021	g73
ScOZjSD_436	2184835	2208174	g74
ScOZjSD_436	2209144	2247374	g75
ScOZjSD_436	2257958	2272822	g76
ScOZjSD_436	2284685	2291464	g77
ScOZjSD_436	2299352	2303893	g78
ScOZjSD_436	2307274	2322352	g79
ScOZjSD_436	2343866	2344267	g80
ScOZjSD_436	2344349	2344579	g81
ScOZjSD_436	2351540	2493791	g82
ScOZjSD_436	2495693	2519298	g83
ScOZjSD_436	2559747	2587542	g84
ScOZjSD_436	2687263	2687919	g85
ScOZjSD_436	2736946	2763406	g86
ScOZjSD_436	2810988	2811308	g87
ScOZjSD_436	2828414	2863850	g88
ScOZjSD_436	2874498	2874824	g89
ScOZjSD_436	2880037	2880354	g90
ScOZjSD_436	3000393	3008341	g91
ScOZjSD_436	3024373	3035635	g92
ScOZjSD_436	3038200	3038961	g93
ScOZjSD_436	3042628	3042888	g94
ScOZjSD_436	3216584	3216919	g95
ScOZjSD_436	3233463	3233735	g96
ScOZjSD_436	3352634	3425968	g97
ScOZjSD_436	3461525	3487389	g98
ScOZjSD_436	3621027	3675758	g99
ScOZjSD_436	3698814	3709611	g100
ScOZjSD_436	3721552	3779182	g101
ScOZjSD_436	3947554	3947841	g102
ScOZjSD_436	3948731	3949910	g103
ScOZjSD_436	3984431	3984868	g104
ScOZjSD_436	4048747	4106772	g105
ScOZjSD_436	4173704	4174021	g106
ScOZjSD_436	4218250	4226712	g107
ScOZjSD_436	4227289	4245570	g108
ScOZjSD_436	4269056	4277698	g109
ScOZjSD_436	4292108	4346765	g110
ScOZjSD_436	4346900	4347562	g111
ScOZjSD_436	4349700	4366352	g112
ScOZjSD_436	4373992	4374363	g113
ScOZjSD_436	4390024	4411876	g114
ScOZjSD_436	4427896	4428630	g115
ScOZjSD_436	4433129	4446409	g116
ScOZjSD_436	4452375	4468767	g117
ScOZjSD_436	4480264	4497882	g118
ScOZjSD_436	4634448	4651928	g119
ScOZjSD_436	4656629	4677476	g120
ScOZjSD_436	4679692	4723751	g121
ScOZjSD_436	4769564	4795791	g122
ScOZjSD_436	4801968	4802399	g123
ScOZjSD_436	4804763	4881406	g124
ScOZjSD_436	4950664	4980918	g125
ScOZjSD_436	5031077	5055160	g126
ScOZjSD_436	5103757	5105685	g127
ScOZjSD_436	5160634	5180746	g128
ScOZjSD_436	5181308	5201837	g129
ScOZjSD_436	5250856	5251185	g130
ScOZjSD_436	5274067	5291925	g131
ScOZjSD_436	5313650	5314802	g132
ScOZjSD_436	5334782	5335615	g133
ScOZjSD_436	5339209	5343006	g134
ScOZjSD_436	5370663	5409676	g135
ScOZjSD_436	5495957	5524290	g136
ScOZjSD_436	5560277	5561386	g137
ScOZjSD_436	5586849	5591790	g138
ScOZjSD_436	5605694	5724940	g139
ScOZjSD_436	5736866	5803032	g140
ScOZjSD_436	5816558	5816968	g141
ScOZjSD_436	5842022	5929794	g142
ScOZjSD_436	5934060	5983905	g143
ScOZjSD_436	5986528	6013310	g144
ScOZjSD_436	6044639	6059217	g145
ScOZjSD_436	6062849	6127541	g146
ScOZjSD_436	6135727	6135990	g147
ScOZjSD_436	6136463	6136759	g148
ScOZjSD_436	6140165	6231383	g149
ScOZjSD_436	6241298	6254425	g150
ScOZjSD_436	6275447	6360186	g151
ScOZjSD_436	6389149	6390165	g152
ScOZjSD_436	6442413	6519376	g153
ScOZjSD_436	6608158	6608517	g154
ScOZjSD_436	6637151	6656577	g155
ScOZjSD_436	6693788	6694066	g156
ScOZjSD_436	6694118	6694429	g157
ScOZjSD_436	6834248	6862297	g158
ScOZjSD_436	6927600	6932741	g159
ScOZjSD_436	6999783	7076923	g160
