id_arv	id_mouse	eval
g1	PAR14	0.0
g1	PAR14	0.0
g1	PAR14	4.37e-19
g1	PARP9	1.55e-34
g1	PARP9	1.94e-17
g1	PARP9	4.96e-09
g1	PARPT	1.08e-33
g1	PAR12	3.40e-31
g1	PAR11	6.61e-29
g1	MACD2	5.40e-15
g1	MACD1	5.81e-14
g1	H2AY	1.21e-12
g2	CP2CT	3.41e-10
g2	CP239	3.52e-10
g2	CP254	6.14e-10
g2	CY250	9.27e-10
g2	CP237	9.27e-10
g2	CP238	1.82e-09
g2	CP255	4.49e-09
g2	CP2BA	5.85e-08
g3	O1509	6.07e-81
g3	OL142	9.94e-76
g3	OL140	1.65e-75
g3	OL149	9.21e-63
g3	O1440	1.04e-62
g3	O1019	4.36e-62
g3	O1020	2.17e-60
g3	OLF12	7.49e-60
g4	LORF2	1.21e-85
g4	OLF24	4.27e-22
g4	O1509	7.45e-22
g4	OLF18	5.34e-21
g4	OL142	1.49e-20
g4	OL958	7.02e-20
g4	OL867	3.00e-19
g4	OL139	3.83e-19
g7	RHX13	2.78e-27
g7	UNC4	9.81e-15
g7	ALX4	1.16e-14
g7	ARX	1.88e-14
g7	DRGX	3.13e-14
g7	ALX3	5.07e-14
g7	RX	5.10e-14
g7	ISX	2.85e-13
g9	POL1	2.52e-61
g9	NYNRI	1.30e-07
g11	RL31	4.69e-35
g13	CYLD	2.13e-133
g14	CTR3	0.0
g14	CTR1	7.14e-149
g14	CTR2	5.43e-132
g14	CTR4	8.65e-71
g14	CTR4	5.67e-12
g14	S7A14	1.49e-60
g14	S7A14	3.01e-16
g14	YLAT1	1.05e-09
g14	BAT1	4.36e-08
g14	LAT1	4.41e-08
g15	LDOC1	1.63e-28
g15	RTL6	7.75e-15
g15	PEG10	4.24e-09
g16	ITIH5	1.55e-11
g17	ZC3HF	2.11e-98
g18	S2539	0.0
g18	S2540	5.80e-96
g18	TPC	4.03e-20
g18	MCAT	1.45e-18
g18	S2538	1.49e-18
g18	SCMC1	2.04e-15
g18	SCMC1	3.10e-06
g18	CMC2	9.71e-15
